,@preprocessor,bootstrap,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,group,score
262,PCA,True,gini,NoneType,0.45,11,4,16,14,0.7985000000000001
263,PCA,True,gini,9,0.15000000000000002,2,2,512,14,0.8244999999999999
264,PCA,True,gini,9,0.4,1,11,64,14,0.819
265,PCA,False,entropy,8,0.45,2,11,512,14,0.819
266,PCA,True,gini,NoneType,0.45,2,19,32,14,0.8125000000000002
267,NoneType,True,gini,NoneType,0.05,3,16,512,14,0.8174999999999999
268,PCA,True,gini,9,0.15000000000000002,1,2,128,14,0.8235000000000001
269,PCA,False,gini,NoneType,0.3,7,2,128,14,0.8245000000000001
270,NoneType,False,gini,10,0.05,5,17,16,14,0.8039999999999999
271,PCA,True,gini,12,0.05,20,17,512,14,0.8015000000000001
272,NoneType,True,gini,8,0.35000000000000003,1,4,256,14,0.8185
273,NoneType,False,entropy,12,0.45,12,3,512,14,0.8215
274,PCA,False,entropy,NoneType,0.45,19,19,128,14,0.8045
275,PCA,True,entropy,8,0.2,13,20,512,14,0.8154999999999999
276,NoneType,True,gini,9,0.25,20,8,512,14,0.7985
277,NoneType,False,entropy,NoneType,0.2,1,10,64,14,0.8385
278,NoneType,True,entropy,NoneType,0.45,3,2,512,14,0.8400000000000001
279,PCA,False,gini,11,0.45,6,2,8,14,0.804
280,PCA,False,gini,10,0.05,16,2,256,14,0.8074999999999999
281,NoneType,True,entropy,NoneType,0.2,1,19,8,14,0.8039999999999999
282,PCA,False,entropy,NoneType,0.45,18,15,16,14,0.8025
283,PCA,True,entropy,8,0.1,18,8,64,14,0.8035
284,NoneType,False,entropy,NoneType,0.45,4,9,32,14,0.8425
285,NoneType,False,gini,NoneType,0.45,1,13,16,14,0.8245000000000001
286,NoneType,True,gini,NoneType,0.45,5,19,512,14,0.8160000000000001
287,NoneType,True,entropy,8,0.2,2,2,512,14,0.8389999999999999
288,PCA,False,entropy,10,0.05,1,11,8,14,0.7190000000000001
289,NoneType,False,entropy,11,0.05,20,19,16,14,0.7805000000000001
290,PCA,True,entropy,10,0.4,16,2,512,14,0.8099999999999999
291,NoneType,False,gini,NoneType,0.15000000000000002,19,4,16,14,0.8019999999999999
292,PCA,True,gini,NoneType,0.05,7,20,128,14,0.8059999999999998
293,PCA,True,gini,NoneType,0.05,9,6,128,14,0.8115
294,NoneType,False,gini,8,0.3,18,14,32,14,0.8009999999999999
295,NoneType,True,entropy,8,0.05,1,20,256,14,0.8109999999999999
296,PCA,True,entropy,NoneType,0.45,1,7,8,14,0.7995
297,NoneType,True,gini,NoneType,0.35000000000000003,17,18,8,14,0.764
298,PCA,False,entropy,NoneType,0.05,2,2,512,14,0.8309999999999998
299,PCA,False,entropy,NoneType,0.45,9,11,512,14,0.8190000000000002
300,NoneType,True,entropy,12,0.45,20,8,64,14,0.8009999999999999
301,NoneType,True,entropy,9,0.05,16,3,256,14,0.8029999999999999
302,PCA,True,gini,12,0.05,20,14,8,14,0.6715
303,NoneType,False,gini,9,0.05,4,2,16,14,0.7899999999999999
304,PCA,False,gini,11,0.25,1,18,512,14,0.821
305,PCA,False,entropy,10,0.25,1,20,32,14,0.817
306,PCA,False,entropy,12,0.45,4,19,8,14,0.8125
307,PCA,False,gini,12,0.25,15,12,256,14,0.8230000000000001
308,NoneType,False,entropy,12,0.45,4,5,128,14,0.8385
309,NoneType,False,entropy,11,0.05,2,6,64,14,0.8215000000000001
310,NoneType,False,gini,9,0.45,3,13,512,14,0.8225
311,PCA,False,entropy,11,0.45,17,7,8,14,0.799
312,PCA,False,entropy,NoneType,0.05,17,10,256,14,0.8105
313,PCA,True,entropy,10,0.45,9,15,256,14,0.8225
314,NoneType,True,gini,8,0.35000000000000003,2,17,16,14,0.8074999999999999
315,PCA,False,gini,8,0.25,17,19,8,14,0.788
316,NoneType,True,entropy,9,0.25,14,4,8,14,0.7735000000000001
317,PCA,True,entropy,11,0.35000000000000003,6,9,512,14,0.8225
318,PCA,True,entropy,12,0.2,3,8,512,14,0.8285
319,NoneType,True,gini,12,0.2,8,18,8,14,0.7955
320,PCA,True,entropy,11,0.3,18,2,64,14,0.808
321,PCA,True,entropy,9,0.2,3,16,256,14,0.8240000000000001
322,NoneType,False,gini,NoneType,0.4,12,5,32,14,0.8135
323,NoneType,False,entropy,NoneType,0.35000000000000003,11,4,8,14,0.8105
324,PCA,False,entropy,9,0.15000000000000002,3,12,32,14,0.8174999999999999
325,NoneType,False,gini,NoneType,0.15000000000000002,7,2,32,14,0.8255000000000001
326,PCA,False,entropy,8,0.35000000000000003,16,7,512,14,0.8084999999999999
327,PCA,True,gini,NoneType,0.35000000000000003,15,20,16,14,0.7975000000000001
328,NoneType,False,entropy,NoneType,0.25,20,9,128,14,0.819
329,PCA,True,entropy,11,0.15000000000000002,7,16,512,14,0.825
330,NoneType,True,entropy,NoneType,0.4,15,2,128,14,0.8155000000000001
331,PCA,True,entropy,NoneType,0.15000000000000002,8,3,16,14,0.8009999999999999
332,PCA,False,gini,11,0.15000000000000002,5,3,512,14,0.8275
333,PCA,True,entropy,8,0.2,11,4,16,14,0.7945
334,NoneType,True,gini,8,0.4,7,14,16,14,0.7925
335,PCA,False,entropy,NoneType,0.4,15,8,8,14,0.8039999999999999
336,NoneType,True,entropy,NoneType,0.45,19,15,8,14,0.7780000000000001
337,PCA,False,entropy,10,0.3,15,2,16,14,0.7995000000000001
338,NoneType,False,entropy,11,0.4,10,17,256,14,0.833
339,NoneType,True,entropy,10,0.05,20,13,16,14,0.7649999999999999
340,NoneType,True,gini,NoneType,0.15000000000000002,11,15,32,14,0.8150000000000001
341,NoneType,False,entropy,10,0.25,10,17,64,14,0.8315000000000001
342,PCA,False,entropy,9,0.2,13,18,256,14,0.8109999999999999
343,NoneType,True,entropy,12,0.4,2,9,256,14,0.8425
344,NoneType,True,entropy,NoneType,0.4,6,18,512,14,0.8270000000000002
345,PCA,False,entropy,10,0.05,5,6,8,14,0.726
346,PCA,False,entropy,9,0.4,16,8,512,14,0.8145
347,NoneType,False,entropy,9,0.1,3,7,32,14,0.8410000000000002
348,PCA,False,entropy,10,0.45,20,4,8,14,0.798
349,NoneType,False,entropy,9,0.35000000000000003,17,13,32,14,0.8155000000000001
350,NoneType,True,gini,10,0.05,18,19,256,14,0.8039999999999999
351,PCA,False,entropy,9,0.1,14,3,256,14,0.8205
352,PCA,False,gini,9,0.3,13,7,64,14,0.8195
353,NoneType,False,entropy,12,0.45,20,18,8,14,0.7924999999999999
354,PCA,True,entropy,11,0.4,12,17,64,14,0.8190000000000002
355,PCA,True,entropy,9,0.25,20,5,512,14,0.804
356,NoneType,False,gini,12,0.2,18,11,32,14,0.8139999999999998
357,PCA,False,gini,8,0.25,17,19,8,14,0.788
358,PCA,True,entropy,NoneType,0.45,3,20,32,14,0.825
359,NoneType,True,entropy,9,0.25,14,4,8,14,0.7735000000000001
360,PCA,True,gini,12,0.45,4,4,16,14,0.807
361,PCA,True,entropy,12,0.45,8,14,128,14,0.8244999999999999
362,PCA,False,gini,12,0.35000000000000003,1,17,512,14,0.8280000000000001
363,NoneType,False,entropy,NoneType,0.1,6,20,256,14,0.8370000000000001
364,NoneType,True,entropy,12,0.2,8,19,128,14,0.827
365,PCA,True,gini,11,0.4,1,18,128,14,0.8205
366,NoneType,False,gini,8,0.45,1,8,512,14,0.8145
367,NoneType,False,entropy,12,0.05,4,20,512,14,0.8229999999999998
368,PCA,False,entropy,NoneType,0.25,7,20,256,14,0.8219999999999998
369,PCA,False,gini,NoneType,0.1,1,17,256,14,0.827
370,NoneType,False,entropy,NoneType,0.45,20,18,512,14,0.8074999999999999
371,NoneType,False,gini,NoneType,0.4,1,5,256,14,0.8385
372,NoneType,False,gini,12,0.05,4,20,16,14,0.7959999999999999
373,NoneType,True,entropy,11,0.4,3,3,512,14,0.8385
374,NoneType,False,entropy,9,0.15000000000000002,4,18,512,14,0.836
375,NoneType,False,entropy,12,0.45,1,13,512,14,0.844
376,NoneType,True,entropy,NoneType,0.35000000000000003,2,6,512,14,0.8385000000000001
377,NoneType,False,entropy,9,0.45,2,6,512,14,0.8445
378,NoneType,False,entropy,12,0.45,2,3,512,14,0.8475000000000001
379,NoneType,False,entropy,8,0.4,2,15,128,14,0.8435
380,NoneType,False,entropy,NoneType,0.3,8,17,256,14,0.8390000000000001
381,NoneType,False,entropy,12,0.4,1,7,256,14,0.849
382,NoneType,False,entropy,10,0.15000000000000002,2,4,128,14,0.8465
383,NoneType,False,entropy,11,0.2,6,4,256,14,0.8425
384,PCA,False,entropy,8,0.3,1,4,256,14,0.8215
385,NoneType,False,gini,10,0.1,1,3,256,14,0.8355
386,NoneType,True,entropy,NoneType,0.25,1,18,128,14,0.8324999999999999
387,NoneType,False,entropy,9,0.45,1,5,64,14,0.8385000000000001
388,NoneType,False,entropy,10,0.25,3,18,128,14,0.8415000000000001
