,boosting_type,learning_rate,max_depth,n_estimators,num_leaves,fit_time,target
1245,gbdt,0.5,-1,25,256,0.054217863082885745,-0.18759981979165286
1238,gbdt,0.5,-1,10,256,0.030831408500671387,-0.18742945436479796
244,gbdt,0.1,-1,50,256,0.09518110752105713,-0.18722281606781382
1700,dart,0.2,9,50,256,0.09823594093322754,-0.18721049589311578
1007,gbdt,0.4,-1,100,256,0.3744913816452026,-0.1871806023515968
1000,gbdt,0.4,-1,50,256,0.13272371292114257,-0.18718060235037476
993,gbdt,0.4,-1,25,256,0.057850885391235354,-0.18718009908965774
2253,dart,0.4,-1,25,256,0.12005648612976075,-0.1870977574816741
755,gbdt,0.3,-1,100,256,0.19572751522064208,-0.18708781570846733
748,gbdt,0.3,-1,50,256,0.10107216835021973,-0.1870878126486728
503,gbdt,0.2,-1,100,256,0.19553420543670655,-0.18708106877649303
496,gbdt,0.2,-1,50,256,0.1149137258529663,-0.187078578093754
741,gbdt,0.3,-1,25,256,0.06294639110565185,-0.18706476232125674
2001,dart,0.3,-1,25,256,0.15767006874084472,-0.1869289218803252
2512,dart,0.5,-1,50,256,0.4670368194580078,-0.18686225374016974
1685,dart,0.2,9,10,128,0.019795966148376466,-0.18649234225089964
489,gbdt,0.2,-1,25,256,0.04948427677154541,-0.1864404350413562
986,gbdt,0.4,-1,10,256,0.021938371658325195,-0.1861661006382795
1497,dart,0.1,-1,25,256,0.0715472936630249,-0.1858944085268854
2498,dart,0.5,-1,10,256,0.07889471054077149,-0.18570644437742195
1755,dart,0.2,-1,50,128,0.16948370933532714,-0.18549087823779334
1735,dart,0.2,10,100,256,0.3046653985977173,-0.18459884367906873
1386,dart,0.1,7,50,4,0.007649660110473633,-0.18449541657855803
1302,dart,0.1,4,50,4,0.004882168769836426,-0.18449541657855803
1330,dart,0.1,5,50,4,0.00745234489440918,-0.18449541657855803
1442,dart,0.1,9,50,4,0.008838295936584473,-0.18449541657855803
1470,dart,0.1,10,50,4,0.012670254707336426,-0.18449541657855803
