,max_depth,max_features,max_leaf_nodes,n_estimators,oob_score,fit_time,target
77,2.0,sqrt,8.0,50,False,0.03944594860076904,-0.019223147912762657
704,7.0,sqrt,4.0,10,True,0.008299803733825684,-0.01921897352400228
153,3.0,log2,32.0,10,False,0.007817482948303223,-0.019201272585344653
74,2.0,sqrt,8.0,25,True,0.021892070770263672,-0.0191888937945704
1031,10.0,log2,4.0,100,False,0.07582528591156006,-0.019187220348474893
46,2.0,log2,128.0,100,True,0.07853748798370361,-0.01915909454411251
963,9.0,sqrt,4.0,25,False,0.01940498352050781,-0.019157675217219585
14,2.0,log2,8.0,100,True,0.08403584957122803,-0.01914978566479557
201,3.0,sqrt,8.0,10,False,0.007708859443664551,-0.019148673137816152
137,3.0,log2,8.0,10,False,0.007626867294311524,-0.01914774374373052
152,3.0,log2,32.0,10,True,0.00868535041809082,-0.019143509857959994
163,3.0,log2,64.0,25,False,0.01935703754425049,-0.01913198925673145
191,3.0,log2,,100,False,0.0777552843093872,-0.019120541095666382
200,3.0,sqrt,8.0,10,True,0.008738231658935548,-0.01909247991472704
326,4.0,sqrt,4.0,100,True,0.07887873649597169,-0.019084152958463864
711,7.0,sqrt,4.0,100,False,0.07513642311096191,-0.019083463195032006
31,2.0,log2,32.0,100,False,0.07245924472808837,-0.019080224141075606
1218,,sqrt,4.0,25,True,0.020381402969360352,-0.01907996684225319
360,4.0,sqrt,128.0,10,True,0.010058355331420899,-0.019074631487754262
837,8.0,sqrt,4.0,50,False,0.0375582218170166,-0.019073351051002486
452,5.0,sqrt,4.0,50,True,0.04186201095581055,-0.0190695390688957
38,2.0,log2,64.0,100,True,0.08306725025177002,-0.019056541676431463
39,2.0,log2,64.0,100,False,0.07693583965301513,-0.019041331684474645
253,3.0,sqrt,,50,False,0.03898487091064453,-0.019040125186248244
116,2.0,sqrt,256.0,50,True,0.04036509990692139,-0.01903394301921715
280,4.0,log2,32.0,10,True,0.009006905555725097,-0.01901819550960281
353,4.0,sqrt,64.0,10,False,0.008287906646728516,-0.019014383727076548
30,2.0,log2,32.0,100,True,0.07802679538726806,-0.01901275477557799
965,9.0,sqrt,4.0,50,False,0.03760387897491455,-0.019011789520203038
249,3.0,sqrt,,10,False,0.007516050338745117,-0.019002214989798958
384,5.0,log2,4.0,10,True,0.008524823188781738,-0.019000961276161004
194,3.0,sqrt,4.0,25,True,0.02075085639953613,-0.01899879305415069
1028,10.0,log2,4.0,50,True,0.04049105644226074,-0.01899542721422917
643,7.0,log2,4.0,25,False,0.019117093086242674,-0.01899422061696657
186,3.0,log2,,25,True,0.021803402900695802,-0.018993722571009237
118,2.0,sqrt,256.0,100,True,0.07995641231536865,-0.018992816300712805
20,2.0,log2,16.0,50,True,0.03924627304077148,-0.018984983684584837
581,6.0,sqrt,4.0,50,False,0.03745100498199463,-0.01898200586679278
203,3.0,sqrt,8.0,25,False,0.01913440227508545,-0.018974367783652704
568,6.0,log2,,10,True,0.009599590301513672,-0.018968181866755352
901,9.0,log2,4.0,50,False,0.03810231685638428,-0.018954881953864078
86,2.0,sqrt,16.0,100,True,0.07944107055664062,-0.01894646293486072
94,2.0,sqrt,32.0,100,True,0.07990338802337646,-0.01894558896188085
44,2.0,log2,128.0,50,True,0.04042239189147949,-0.018943577867988164
84,2.0,sqrt,16.0,50,True,0.04029295444488525,-0.01894219708093052
15,2.0,log2,8.0,100,False,0.07965028285980225,-0.018938559368526252
119,2.0,sqrt,256.0,100,False,0.07449495792388916,-0.018938247083179295
105,2.0,sqrt,128.0,10,False,0.007456231117248535,-0.018936702858501
252,3.0,sqrt,,50,True,0.0412409782409668,-0.018936594258441134
344,4.0,sqrt,32.0,10,True,0.009087419509887696,-0.01893127912578457
198,3.0,sqrt,4.0,100,True,0.08009655475616455,-0.01891471403043957
1027,10.0,log2,4.0,25,False,0.019340038299560547,-0.01890375155277453
54,2.0,log2,256.0,100,True,0.07887704372406006,-0.018888452329549225
25,2.0,log2,32.0,10,False,0.00743408203125,-0.018886843190920356
85,2.0,sqrt,16.0,50,False,0.0381206750869751,-0.018882744476804856
9,2.0,log2,8.0,10,False,0.008240437507629395,-0.018879179245520114
450,5.0,sqrt,4.0,25,True,0.02153325080871582,-0.01886205169081353
111,2.0,sqrt,128.0,100,False,0.07456722259521484,-0.01885716644074829
773,8.0,log2,4.0,50,False,0.037129759788513184,-0.018856146819830805
132,3.0,log2,4.0,50,True,0.04069476127624512,-0.01884517690664131
26,2.0,log2,32.0,25,True,0.019989824295043944,-0.018832652638630553
24,2.0,log2,32.0,10,True,0.0084611177444458,-0.018826217743882354
76,2.0,sqrt,8.0,50,True,0.041493010520935056,-0.01881510633242681
1220,,sqrt,4.0,50,True,0.04130611419677734,-0.01880633651261066
516,6.0,log2,4.0,50,True,0.039834451675415036,-0.018803939007062325
188,3.0,log2,,50,True,0.04199037551879883,-0.01878280512753933
515,6.0,log2,4.0,25,False,0.018906044960021972,-0.018760028530474513
79,2.0,sqrt,8.0,100,False,0.07548708915710449,-0.0187597794051282
712,7.0,sqrt,8.0,10,True,0.008876514434814454,-0.018758523800177677
102,2.0,sqrt,64.0,100,True,0.0790982723236084,-0.018757512305107773
33,2.0,log2,64.0,10,False,0.009349608421325683,-0.018747907498048434
1026,10.0,log2,4.0,25,True,0.020499420166015626,-0.01873209296877359
1029,10.0,log2,4.0,50,False,0.038262248039245605,-0.01871799385889205
