,@preprocessor,bootstrap,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,group,time
179,NoneType,True,entropy,8,0.45,1,5,32,14,3.020517587661743
180,NoneType,True,entropy,12,0.45,1,5,512,14,43.826539039611816
181,PCA,False,entropy,8,0.3,1,4,32,14,3.92799973487854
182,NoneType,False,entropy,12,0.3,2,7,512,14,49.09375071525574
183,PCA,False,entropy,NoneType,0.45,1,20,512,14,73.65537333488464
184,PCA,False,entropy,8,0.4,13,19,32,14,4.424427270889282
185,PCA,False,entropy,8,0.45,20,2,256,14,30.355311393737793
186,NoneType,False,entropy,8,0.25,19,8,128,14,9.151448726654053
187,PCA,False,gini,11,0.3,2,9,64,14,2.421586036682129
188,NoneType,True,entropy,10,0.3,8,9,32,14,2.0339322090148926
189,PCA,False,entropy,8,0.05,20,4,256,14,4.823979139328003
190,NoneType,True,gini,NoneType,0.3,3,2,64,14,1.4694437980651855
191,NoneType,False,entropy,NoneType,0.2,2,8,512,14,35.49893379211426
192,NoneType,False,entropy,12,0.45,1,3,16,14,2.7481513023376465
193,NoneType,False,entropy,NoneType,0.45,1,11,128,14,18.996569633483887
194,PCA,True,gini,11,0.05,1,8,512,14,3.1623408794403076
195,PCA,True,gini,NoneType,0.45,13,5,512,14,9.974143743515015
196,NoneType,False,entropy,NoneType,0.45,8,20,32,14,4.6451170444488525
197,PCA,False,entropy,NoneType,0.25,20,19,16,14,2.067708730697632
198,PCA,False,entropy,NoneType,0.1,3,3,64,14,3.335852861404419
199,NoneType,False,entropy,NoneType,0.15000000000000002,2,17,256,14,13.569128036499023
200,PCA,False,entropy,11,0.15000000000000002,1,10,256,14,15.395058870315552
201,PCA,False,entropy,NoneType,0.2,1,19,512,14,37.40646409988403
202,NoneType,False,entropy,NoneType,0.45,4,18,512,14,70.94713973999023
203,NoneType,True,gini,NoneType,0.25,8,19,512,14,6.651123523712158
204,PCA,True,entropy,NoneType,0.05,17,19,64,14,1.5172741413116455
205,NoneType,False,entropy,NoneType,0.25,2,7,256,14,21.872044324874878
206,NoneType,False,entropy,8,0.05,2,2,512,14,8.760828733444214
207,NoneType,False,entropy,8,0.45,2,9,512,14,68.93550562858582
208,NoneType,False,entropy,8,0.45,1,6,128,14,17.755243062973022
209,PCA,False,gini,NoneType,0.05,20,2,128,14,1.4376857280731201
210,NoneType,True,entropy,NoneType,0.05,20,18,512,14,4.644045352935791
